"53";"GK0050";"kankin2";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"36";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"54";"GK0052";"oredo080";"4";"0000-00-00";"1";"1";"82080";"240";"48";"0";"0";"NULL";"3";"34";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"55";"GK0047";"osima";"3";"0000-00-00";"1";"1";"44388";"130";"26";"0";"0";"NULL";"3";"74";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"56";"GK0053";"vip054";"5";"0000-00-00";"2";"1";"38000";"240";"16";"0";"0";"NULL";"3";"43";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"57";"GK0054";"h421";"2";"0000-00-00";"1";"1";"19000";"60";"12";"0";"0";"NULL";"3";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"58";"GK0055";"tubo1";"1";"0000-00-00";"2";"1";"9000";"120";"8";"0";"0";"NULL";"3";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"59";"GK0056";"tubo2";"1";"0000-00-00";"2";"1";"9000";"120";"8";"0";"0";"NULL";"3";"27";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"60";"GK0057";"oiran";"7";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"50";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"61";"GK0058";"miyabi";"3";"0000-00-00";"1";"1";"44460";"130";"26";"0";"0";"NULL";"3";"81";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"62";"GK0061";"b429";"2";"0000-00-00";"1";"1";"20520";"60";"12";"0";"0";"NULL";"3";"10";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
