id,date,project id,expense_item_id,expense_type_id,price,budget_type_id,currency_id,note
873,2015-04-30,1,11,2,25,2,1,0
874,2015-04-30,1,12,2,50,2,1,0
875,2015-05-01,1,2,1,8,2,1,water server
876,2015-05-01,2,4,2,3.5,1,1,lunch
877,2015-05-01,2,21,1,28,1,1,dinner
878,2015-05-02,1,8,2,6,2,1,tuk tuk
879,2015-05-02,1,8,2,8,2,1,taxi
880,2015-05-02,2,4,2,15.45,1,1,0
881,2015-05-02,2,4,2,8.4,1,1,0
882,2015-05-02,2,8,2,6,1,1,tuk
883,2015-05-02,2,8,2,6,1,1,tuk
884,2015-05-02,2,21,1,49,1,1,dinner
885,2015-05-03,2,4,2,2.5,1,1,lunch
886,2015-05-03,2,4,2,6.5,1,1,dinner
887,2015-05-04,2,4,2,1.25,1,1,lunch
888,2015-05-05,2,4,2,1,1,1,lunch
889,2015-05-05,1,19,1,1751,2,1,salary
890,2015-05-05,2,9,3,130,1,1,repair smart phone
891,2015-05-05,2,20,1,16.5,1,1,beer for Nang
892,2015-05-05,2,20,1,44,1,1,party for Nang
893,2015-05-05,2,4,2,9.75,1,1,"milk, ice"
894,2015-05-06,2,4,2,1,1,1,lunch
895,2015-05-07,2,20,1,15,1,1,staff lunch
896,2015-05-07,2,2,1,10,1,1,SIM card 20
897,2015-05-07,1,8,2,60,2,1,rental moto
898,2015-05-07,2,20,1,12,1,1,footsal
899,2015-05-07,2,13,1,3,1,1,footsal
900,2015-05-08,1,11,2,35,2,1,top up
901,2015-05-08,1,18,2,10,2,1,water
902,2015-05-08,2,2,1,6,1,1,DVI cable
903,2015-05-08,2,4,2,20.25,1,1,cofee ice cream juice
904,2015-05-09,2,4,2,10,1,1,dinner
905,2015-05-09,2,3,2,2.7,1,1,cleanser
906,2015-05-10,2,4,2,2,1,1,lunch
907,2015-05-11,2,4,2,1,1,1,lunch
908,2015-05-11,2,4,2,5,1,1,dinner
909,2015-05-11,2,20,1,100,1,1,club
910,2015-05-12,2,4,2,5.5,1,1,lunch
911,2015-05-12,2,4,2,10,1,1,"milk, ice"
912,2015-05-12,2,8,2,3,1,1,moto taxi
913,2015-05-12,2,21,1,51.5,1,1,honda sushi
914,2015-05-12,2,4,2,2.2,1,1,joma
915,2015-05-12,2,8,2,3,1,1,tuk tuk
916,2015-05-12,2,21,1,38.5,1,1,eclipse
917,2015-05-12,2,8,2,8.4,1,1,taxi
918,2015-05-13,2,21,1,10,1,1,dinner
919,2015-05-13,2,4,2,4,1,1,lunch
920,2015-05-14,2,21,1,50,1,1,spain dinner
921,2015-05-15,2,4,2,15,1,1,dinner
922,2015-05-16,2,4,2,3.8,1,1,smoothy
923,2015-05-16,2,7,3,6,1,1,darts
924,2015-05-16,2,7,3,24,1,1,darts
925,2015-05-16,2,4,2,20,1,1,dinner
926,2015-05-16,2,21,1,78,1,1,cony
927,2015-05-17,2,4,2,4.9,1,1,coffee and cake
928,2015-05-17,2,8,2,5,1,1,tuk tuk
929,2015-05-17,2,13,1,1,1,1,footsal
930,2015-05-17,2,21,1,4,1,1,cony
931,2015-05-17,2,4,2,4,1,1,dinner
932,2015-05-18,1,1,2,715,2,1,0
933,2015-05-18,1,15,2,249,2,1,0
934,2015-05-18,1,17,2,286.6,2,1,electricity
935,2015-05-01,1,19,1,2500,2,1,0
936,2015-05-31,1,12,2,50,2,1,tax
937,2015-05-18,2,4,2,20,1,1,dinner
938,2015-05-19,2,4,2,1,1,1,lunch
939,2015-05-18,2,4,2,1,1,1,lunch
940,2015-05-19,2,4,2,5,1,1,dinner
941,2015-05-20,2,4,2,1,1,1,lunch
942,2015-05-20,2,4,2,10,1,1,ice cream
943,2015-05-21,2,4,2,1,1,1,lunch
944,2015-05-21,2,4,2,3.25,1,1,banana
